platform,country,city,zone,zone_tier,lat,lng,scraped_at,store_id,store_name,store_address,delivery_fee,service_fee_pct,eta_text,eta_minutes,is_available,rating,product_label,product_name,product_id,price,real_price,discount_pct,is_product_available,corridor
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-05-11T17:55:28,1306703466,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,9.9,0.0,12 min,32,True,"{'score': 3.6, 'total_reviews': 481, 'score_info': {'1': 124, '2': 26, '3': 38, '4': 36, '5': 257}, 'style': 'LOW'}",coca_cola,Coca-Cola Zero mediana,1306703466_6655579,59.0,59.0,0.0,False,Bebidas
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-05-11T17:55:28,1306703466,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,9.9,0.0,12 min,32,True,"{'score': 3.6, 'total_reviews': 481, 'score_info': {'1': 124, '2': 26, '3': 38, '4': 36, '5': 257}, 'style': 'LOW'}",coca_cola,Coca-Cola mediana,1306703466_6655515,59.0,59.0,0.0,False,Bebidas
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-05-11T17:55:28,1923219830,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",9.9,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 631, 'score_info': {'1': 110, '2': 39, '3': 44, '4': 69, '5': 369}, 'style': 'LOW'}",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,1923219830_6897222,218.0,218.0,0.0,False,Mc para Todos
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-05-11T17:55:28,1923219830,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",9.9,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 631, 'score_info': {'1': 110, '2': 39, '3': 44, '4': 69, '5': 369}, 'style': 'LOW'}",mcnuggets_10,McTrio mediano McNuggets 10 pzas,1923219830_6897337,179.0,179.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-05-11T17:55:28,1923219830,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",9.9,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 631, 'score_info': {'1': 110, '2': 39, '3': 44, '4': 69, '5': 369}, 'style': 'LOW'}",mctrio_big_mac,McTrío mediano Big Mac,1923219830_6897207,169.0,169.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-05-11T17:55:28,1923219830,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",9.9,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 631, 'score_info': {'1': 110, '2': 39, '3': 44, '4': 69, '5': 369}, 'style': 'LOW'}",big_mac,Big Mac,1923219830_6897291,145.0,145.0,0.0,False,A La Carta Comida
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-05-11T17:55:28,1923219830,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",9.9,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 631, 'score_info': {'1': 110, '2': 39, '3': 44, '4': 69, '5': 369}, 'style': 'LOW'}",coca_cola,Coca-Cola Zero mediana,1923219830_6897323,65.0,65.0,0.0,False,Bebidas
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-05-11T17:55:28,1923219830,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",9.9,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 631, 'score_info': {'1': 110, '2': 39, '3': 44, '4': 69, '5': 369}, 'style': 'LOW'}",coca_cola,Coca-Cola mediana,1923219830_6897340,65.0,65.0,0.0,False,Bebidas
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-05-11T17:55:28,1306705685,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",9.9,0.0,12 min,32,True,"{'score': 3.7, 'total_reviews': 403, 'score_info': {'1': 92, '2': 19, '3': 30, '4': 40, '5': 222}, 'style': 'LOW'}",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,1306705685_7390141,208.0,208.0,0.0,False,Mc para Todos
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-05-11T17:55:28,1306705685,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",9.9,0.0,12 min,32,True,"{'score': 3.7, 'total_reviews': 403, 'score_info': {'1': 92, '2': 19, '3': 30, '4': 40, '5': 222}, 'style': 'LOW'}",mcnuggets_10,McTrio mediano McNuggets 10 pzas,1306705685_7389920,159.0,159.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-05-11T17:55:28,1306705685,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",9.9,0.0,12 min,32,True,"{'score': 3.7, 'total_reviews': 403, 'score_info': {'1': 92, '2': 19, '3': 30, '4': 40, '5': 222}, 'style': 'LOW'}",mctrio_big_mac,McTrío mediano Big Mac,1306705685_7390221,149.0,149.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-05-11T17:55:28,1306705685,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",9.9,0.0,12 min,32,True,"{'score': 3.7, 'total_reviews': 403, 'score_info': {'1': 92, '2': 19, '3': 30, '4': 40, '5': 222}, 'style': 'LOW'}",big_mac,Big Mac,1306705685_7390189,125.0,125.0,0.0,False,A La Carta Comida
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-05-11T17:55:28,1306705685,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",9.9,0.0,12 min,32,True,"{'score': 3.7, 'total_reviews': 403, 'score_info': {'1': 92, '2': 19, '3': 30, '4': 40, '5': 222}, 'style': 'LOW'}",coca_cola,Coca-Cola Zero mediana,1306705685_7389936,55.0,55.0,0.0,False,Bebidas
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-05-11T17:55:28,1306705685,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",9.9,0.0,12 min,32,True,"{'score': 3.7, 'total_reviews': 403, 'score_info': {'1': 92, '2': 19, '3': 30, '4': 40, '5': 222}, 'style': 'LOW'}",coca_cola,Coca-Cola mediana,1306705685_7390198,55.0,55.0,0.0,False,Bebidas
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-05-11T17:55:28,1306705707,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",9.9,0.0,12 min,32,True,"{'score': 3.6, 'total_reviews': 698, 'score_info': {'1': 161, '2': 37, '3': 69, '4': 83, '5': 348}, 'style': 'LOW'}",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,1306705707_7390141,208.0,208.0,0.0,False,Mc para Todos
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-05-11T17:55:28,1306705707,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",9.9,0.0,12 min,32,True,"{'score': 3.6, 'total_reviews': 698, 'score_info': {'1': 161, '2': 37, '3': 69, '4': 83, '5': 348}, 'style': 'LOW'}",big_mac,Big Mac,1306705707_7390189,125.0,125.0,0.0,False,A La Carta Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-05-11T17:55:28,1306705707,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",9.9,0.0,12 min,32,True,"{'score': 3.6, 'total_reviews': 698, 'score_info': {'1': 161, '2': 37, '3': 69, '4': 83, '5': 348}, 'style': 'LOW'}",coca_cola,Coca-Cola Zero mediana,1306705707_7389936,55.0,55.0,0.0,False,Bebidas
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-05-11T17:55:28,1306705707,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",9.9,0.0,12 min,32,True,"{'score': 3.6, 'total_reviews': 698, 'score_info': {'1': 161, '2': 37, '3': 69, '4': 83, '5': 348}, 'style': 'LOW'}",coca_cola,Coca-Cola mediana,1306705707_7390198,55.0,55.0,0.0,False,Bebidas
rappi,MX,CDMX,Ecatepec,low,19.6011,-99.0506,2026-05-11T17:55:28,1923815144,Mcdonald's Ecatepec Las Americas ,"Av. 1ro de Mayo, Fraccionamiento Las Americas, Las Américas, 55070 México, Méx.",0.0,0.0,49 min,69,False,"{'score': 4.3, 'total_reviews': 243, 'score_info': {'1': 21, '2': 8, '3': 19, '4': 31, '5': 164}, 'style': 'LOW'}",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,1923815144_7390141,208.0,208.0,0.0,False,Mc para Todos
rappi,MX,CDMX,Ecatepec,low,19.6011,-99.0506,2026-05-11T17:55:28,1923815144,Mcdonald's Ecatepec Las Americas ,"Av. 1ro de Mayo, Fraccionamiento Las Americas, Las Américas, 55070 México, Méx.",0.0,0.0,49 min,69,False,"{'score': 4.3, 'total_reviews': 243, 'score_info': {'1': 21, '2': 8, '3': 19, '4': 31, '5': 164}, 'style': 'LOW'}",mcnuggets_10,McTrio mediano McNuggets 10 pzas,1923815144_7389920,159.0,159.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Ecatepec,low,19.6011,-99.0506,2026-05-11T17:55:28,1923815144,Mcdonald's Ecatepec Las Americas ,"Av. 1ro de Mayo, Fraccionamiento Las Americas, Las Américas, 55070 México, Méx.",0.0,0.0,49 min,69,False,"{'score': 4.3, 'total_reviews': 243, 'score_info': {'1': 21, '2': 8, '3': 19, '4': 31, '5': 164}, 'style': 'LOW'}",mctrio_big_mac,McTrío mediano Big Mac,1923815144_7390221,149.0,149.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Ecatepec,low,19.6011,-99.0506,2026-05-11T17:55:28,1923815144,Mcdonald's Ecatepec Las Americas ,"Av. 1ro de Mayo, Fraccionamiento Las Americas, Las Américas, 55070 México, Méx.",0.0,0.0,49 min,69,False,"{'score': 4.3, 'total_reviews': 243, 'score_info': {'1': 21, '2': 8, '3': 19, '4': 31, '5': 164}, 'style': 'LOW'}",big_mac,Big Mac,1923815144_7390189,125.0,125.0,0.0,False,A La Carta Comida
rappi,MX,CDMX,Ecatepec,low,19.6011,-99.0506,2026-05-11T17:55:28,1923815144,Mcdonald's Ecatepec Las Americas ,"Av. 1ro de Mayo, Fraccionamiento Las Americas, Las Américas, 55070 México, Méx.",0.0,0.0,49 min,69,False,"{'score': 4.3, 'total_reviews': 243, 'score_info': {'1': 21, '2': 8, '3': 19, '4': 31, '5': 164}, 'style': 'LOW'}",coca_cola,Coca-Cola Zero mediana,1923815144_7389936,55.0,55.0,0.0,False,Bebidas
rappi,MX,CDMX,Ecatepec,low,19.6011,-99.0506,2026-05-11T17:55:28,1923815144,Mcdonald's Ecatepec Las Americas ,"Av. 1ro de Mayo, Fraccionamiento Las Americas, Las Américas, 55070 México, Méx.",0.0,0.0,49 min,69,False,"{'score': 4.3, 'total_reviews': 243, 'score_info': {'1': 21, '2': 8, '3': 19, '4': 31, '5': 164}, 'style': 'LOW'}",coca_cola,Coca-Cola mediana,1923815144_7390198,55.0,55.0,0.0,False,Bebidas
